Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
56,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Barb's marsh,44.5239,-76.3739,2,4,5,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,33,0.02,,ns,,,,,,,,,
57,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Barb's marsh,44.5239,-76.3739,2,5,6,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,25,0.31,,ns,,,,,,,,,
58,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Barb's marsh,44.5239,-76.3739,2,6,7,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,27,0.12,,ns,,,,,,,,,
59,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1993,1993,Barb's marsh,44.5239,-76.3739,3,0,4,1,1,1,1,1,1,2,body size,Size,Size,number of partners,M,33,0.801,0.2323,0.0017,-0.287,0.2077,ns,,,,,,
60,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Barb's marsh,44.5239,-76.3739,3,7,5,1,1,1,1,1,1,2,body size,Size,Size,number of partners,M,33,0.239,0.2567,ns,-0.344,0.2597,ns,,,,,,
61,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Barb's marsh,44.5239,-76.3739,3,8,6,1,1,1,1,1,1,2,body size,Size,Size,number of partners,M,25,1.151,0.3265,0.002,0.136,0.3319,ns,,,,,,
62,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Barb's marsh,44.5239,-76.3739,3,9,7,1,1,1,1,1,1,2,body size,Size,Size,number of partners,M,27,0.292,0.299,ns,-0.353,0.2832,ns,,,,,,
63,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1993,1993,Barb's marsh,44.5239,-76.3739,4,0,4,1,1,1,2,1,1,2,fat content,OtherMO,OMO,number of partners,M,33,0.342,0.2037,ns,,,,,,,,,
64,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Barb's marsh,44.5239,-76.3739,4,10,5,1,1,1,2,1,1,2,fat content,OtherMO,OMO,number of partners,M,33,0.133,0.2386,ns,,,,,,,,,
65,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Barb's marsh,44.5239,-76.3739,4,11,6,1,1,1,2,1,1,2,fat content,OtherMO,OMO,number of partners,M,25,0.312,0.3228,ns,,,,,,,,,
